Rank,Driver,Points,Diff
1,Kyle Larson,3059,
2,Martin Truex Jr,3029,-30
3,Ryan Blaney,3024,-35
3,Denny Hamlin,3024,-35
5,Kyle Busch,3022,-37
6,Chase Elliott,3021,-38
7,Alex Bowman,3015,-44
8,William Byron,3014,-45
9,Joey Logano,3013,-46
10,Brad Keselowski,3008,-51
11,Christopher Bell,3005,-54
12,Kevin Harvick,3002,-57
13,Aric Almirola,2075,-984
13,Tyler Reddick,2075,-984
15,Kurt Busch,2071,-988
16,Michael McDowell,2028,-1031
17,Austin Dillon,761,-2298
18,Matt DiBenedetto,629,-2430
19,Ross Chastain,624,-2435
20,Chris Buescher,598,-2461
21,Ricky Stenhouse Jr,574,-2485
