Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,36,36,,
yellow_flag,37,41,5,competition,#78
green_flag,42,75,34,,
yellow_flag,76,79,4,accident 2 no. 84,#78
green_flag,80,101,22,,
yellow_flag,102,107,6,end of stage 1,#14
green_flag,108,156,49,,
yellow_flag,157,163,7,rain,#2
green_flag,164,164,1,,
yellow_flag,165,169,5,accident backstretch,#23
green_flag,170,176,7,,
yellow_flag,177,181,5,accident backstretch,#7
green_flag,182,186,5,,
yellow_flag,187,191,5,accident frontstretch,#14
green_flag,192,200,9,,
yellow_flag,201,207,7,accident frontstretch,#38
green_flag,208,232,25,,
yellow_flag,233,236,4,spun frontstretch,#99
green_flag,237,275,39,,
yellow_flag,276,280,5,accident backstretch,#99
green_flag,281,301,21,,
yellow_flag,302,307,6,end of stage 3,#10
green_flag,308,344,37,,
yellow_flag,345,349,5,debris turn 2,#41
green_flag,350,358,9,,
yellow_flag,359,362,4,accident frontstretch,#1
green_flag,363,363,1,,
yellow_flag,364,369,6,accident 4 nos. 16 & 21,#99
green_flag,370,370,1,,
yellow_flag,371,374,4,accident backstretch,#6
green_flag,375,375,1,,
yellow_flag,376,380,5,"accident 2 nos. 5, 54, 2",#6
green_flag,381,400,20,,
Percent of race run under caution: 20.8%             Average green flag run: 18.6 laps
