Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,1,24,William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,68,running,42,47,5
2,4,20,Christopher Bell,DEWALT   (Joe Gibbs),Toyota,68,running,9,45,1
3,2,54,Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,68,running,1,37,0
4,17,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,68,running,0,33,0
5,3,45,Tyler Reddick,The Beast Unleashed   (23XI Racing),Toyota,68,running,1,34,0
6,14,13,A.J. Allmendinger,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,68,running,0,0,0
7,6,1,Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,68,running,10,31,0
8,20,17,Chris Buescher,Fastenal   (Jack Roush),Ford,68,running,0,29,0
9,16,8,Kyle Busch,Mark III Employee Benefits   (Richard Childress),Chevrolet,68,running,0,28,0
10,7,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,68,running,2,35,0
11,35,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,68,running,0,26,0
12,28,12,Ryan Blaney,Menards  Jack Links   (Roger Penske),Ford,68,running,0,34,0
13,32,14,Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,68,running,0,24,0
14,8,11,Denny Hamlin,Interstate Batteries   (Joe Gibbs),Toyota,68,running,3,33,1
15,10,23,Bubba Wallace,Mobil 1   (23XI Racing),Toyota,68,running,0,22,0
16,9,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,68,running,0,21,0
17,15,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,68,running,0,20,0
18,11,2,Austin Cindric,Discount Tire   (Roger Penske),Ford,68,running,0,26,0
19,34,71,Zane Smith,Focused Health   (Spire Motorsports),Chevrolet,68,running,0,18,0
20,12,16,Shane Van Gisbergen,WeatherTech   (Matthew Kaulig),Chevrolet,68,running,0,0,0
21,22,42,John H. Nemechek,ROMCO Equipment Co.   (Legacy Motor Club),Toyota,68,running,0,20,0
22,18,77,Carson Hocevar,Delaware Life   (Spire Motorsports),Chevrolet,68,running,0,15,0
23,24,41,Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,68,running,0,20,0
24,5,7,Corey LaJoie,Gainbridge   (Spire Motorsports),Chevrolet,68,running,0,13,0
25,21,3,Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,68,running,0,18,0
26,26,38,Todd Gilliland,Ruedebusch   (Bob Jenkins),Ford,68,running,0,18,0
27,23,15,Kaz Grala,N29 Capital Partners   (Rick Ware),Ford,68,running,0,10,0
28,30,47,Ricky Stenhouse Jr,Palmolive   (JTG-Daugherty Racing),Chevrolet,68,running,0,14,0
29,25,50,Kamui Kobayashi,Mobil 1 50th Anniversary   (23XI Racing),Toyota,68,running,0,8,0
30,29,21,Harrison Burton,Motorcraft  Quick Lane   (Wood Brothers),Ford,68,running,0,7,0
31,19,99,Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,68,running,0,15,0
32,38,43,Erik Jones,Family Dollar   (Legacy Motor Club),Toyota,68,running,0,5,0
33,36,6,Brad Keselowski,Castrol 125 Years Forward   (Jack Roush),Ford,68,running,0,9,0
34,39,10,Noah Gragson,Rush Truck Centers   (Stewart Haas Racing),Ford,67,running,0,3,0
35,31,4,Josh Berry,Overstock.com   (Stewart Haas Racing),Ford,67,running,0,3,0
36,37,66,Timmy Hill,Amptricity   (Carl Long),Ford,66,running,0,0,0
37,33,31,Daniel Hemric,Cirkul   (Matthew Kaulig),Chevrolet,66,running,0,3,0
38,27,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,51,steering,0,9,0
39,13,51,Justin Haley,Fraternal Order of Eagles	   (Rick Ware),Ford,68,running,0,1,0
